"Data Ocorrência";"Descrição";"Valor";"Categoria";"Conta"
"13/09/2015";"Polishop - Fritadeira AIRFRYER - (1 / 12)";-96.66;"Utensílios domésticos";"Cartão de Crédito BB"
"09/10/2015";"Remédios";-56.9;"Farmácia";"Cartão de Crédito BB"
"13/10/2015";"Polishop - Fritadeira AIRFRYER - (2 / 12)";-96.66;"Utensílios domésticos";"Cartão de Crédito BB"
"17/10/2015";"Acessórios para a moto  (grupo 01) (1 / 10)";-120.0;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"17/10/2015";"Acessórios para a moto (grupo 2) (1 / 10)";-39.9;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"05/11/2015";"Remédios (1 / 4)";-34.96;"Farmácia";"Cartão de Crédito BB"
"12/11/2015";"Casa Maceió - Tintas (1 / 3)";-80.0;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"13/11/2015";"Polishop - Fritadeira AIRFRYER - (3 / 12)";-96.66;"Utensílios domésticos";"Cartão de Crédito BB"
"14/11/2015";"Casa Maceió - Tintas e Materiais de Pintura (1 / 10)";-21.85;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"14/11/2015";"Casa Maceió - Telhas (1 / 3)";-150.0;"Ampliação/Melhorias em Imóveis";"Cartão de Crédito BB"
"17/11/2015";"Acessórios para a moto  (grupo 01) (2 / 10)";-120.0;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"17/11/2015";"Acessórios para a moto (grupo 2) (2 / 10)";-39.9;"Carros, Motos e Acessórios";"Cartão de Crédito BB"
"21/11/2015";"Casa Maceió - Materiais e verniz para Telhados (1 / 10)";-42.59;"Ampliação/Melhorias em Imóveis";"Conta Corrente"
"03/12/2015";"Remédios para Pressão (1 / 3)";-27.33;"Farmácia";"Cartão de Crédito BB"
"05/12/2015";"Remédios (2 / 4)";-34.96;"Farmácia";"Cartão de Crédito BB"
"05/12/2015";"Peças para a moto e Casaco para Gracinha (1 / 5)";-90.0;"Moto Lavagem/Manutenção";"Cartão de Crédito BB"
"06/12/2015";"Presentes para Daniel e Maria (1 / 3)";-89.9;"Roupas e Calçados";"Cartão de Crédito BB"
"06/12/2015";"Presente de Gabriela (1 / 10)";-65.0;"Acessórios";"Cartão de Crédito BB"
"06/12/2015";"Presentes para João Neto (1 / 3)";-18.6;"Roupas e Calçados";"Cartão de Crédito BB"
"06/12/2015";"Presentes para Ernane, Daniel e Thais (1 / 3)";-103.2;"Roupas e Calçados";"Cartão de Crédito BB"
